site1-1,site1-2,site1-3,site1-4,site2-1,site2-2,site2-3,site2-4,site2-5,bedrock,site3,Area1,Area2,River,Area3
697.6,427,,2421,983,248.3,2024.5,447.5,244.6,440.5,426,869,542,461.9,1015.4
1849.7,,,771.9,406.4,939.5,274.7,961.6,244.3,2440,431,301,1775,1585.3,705.6
440.7,,,266.5,369.3,1963.3,247.9,225.4,2574.2,93.8,431,410,304,2460,1935.3
437.7,,,279.1,1781.8,1877.7,688.3,443,234.8,319.7,431,365,224,240.6,231.6
1885.7,,,476,413,2659.7,315.1,1014.6,234.4,1822.5,433,416,233,455.6,806.4
247.9,,,1837.6,397.2,275.9,309.9,293.2,1470.1,2255.3,444,2545,2479,394.8,2539
234.2,,,760.9,398.3,261.8,1450.6,425.6,230.2,2064.2,451,,297,1778.2,811.4
270.2,,,440,1571.3,1075.8,424,230.8,227.4,2389.6,459,,296,1821.4,901.6
274.4,,,824,913.8,1966.3,1756.4,407.8,815.4,1810.6,459,,318,,219.9
314.1,,,453.4,248.1,261.9,471.7,2362.8,630,2469,461,,322,,2677.7
231.5,,,1753.2,1683.7,977.9,1012.5,299.7,197.3,1956.4,462,,267,,415.4
1452.2,,,406,1542.1,431.5,1070.4,366.4,503.7,2482.5,466,,455,,2508.4
1247.7,,,431.8,470.2,442.7,707.1,410.2,498.4,329.8,467,,212,,216.3
251.3,,,2523.2,483.3,1550.5,1632.4,440.5,240.2,1683.9,482,,282,,222
2125.5,,,1582.6,1328.3,2476.6,1096.1,2534.5,234.8,1808,498,,239,,216.5
494.5,,,1899.8,307.5,,263.1,218.8,2611.7,264.7,506,,1861,,1855.4
454.6,,,289.2,107.1,,374.7,449.9,1067.2,2445.7,506,,163,,985.2
257.9,,,459.2,459.8,,,,435.9,1828.4,508,,1818,,834.2
273.4,,,414.8,,,,,1281.2,1994.3,509,,250,,2557
369.2,,,1922.2,,,,,2517,2350.9,524,,240,,1905.9
474.9,,,584.2,,,,,433.6,269.6,555,,149,,1682.5
964.6,,,2563.7,,,,,1071.2,1347.1,567,,300,,773.2
875.5,,,479.4,,,,,1028.1,2013.1,627,,458,,548.1
1950,,,1899.6,,,,,1883,2282.5,710,,1901,,978.4
236.3,,,451.5,,,,,484.7,2290.6,734,,1764,,259.9
432.2,,,314.1,,,,,457.8,1958,745,,314,,2488.2
2468.3,,,277.9,,,,,1389.5,458.4,750,,286,,219.2
842.6,,,,,,,,283.6,2405.1,752,,1369,,969.7
338.6,,,,,,,,829.2,233.7,772,,125,,980
231.5,,,,,,,,413.2,273.4,775,,293,,1637.1
522.9,,,,,,,,291.8,1880.5,793,,328,,983.2
,,,,,,,,871.2,1887.7,819,,243,,213.7
,,,,,,,,434.3,2308.6,830,,347,,1802.9
,,,,,,,,1762.9,2447.8,841,,239,,1882
,,,,,,,,234.4,2332.9,858,,338,,2453.1
,,,,,,,,,2424.4,888,,274,,219.9
,,,,,,,,,312.9,933,,1858,,990
,,,,,,,,,1973.8,936,,267,,1146
,,,,,,,,,1873,940,,125,,629.3
,,,,,,,,,2416.7,941,,283,,1015.4
,,,,,,,,,281.5,973,,179,,2309.4
,,,,,,,,,1839.9,970,,1847,,499.5
,,,,,,,,,2535,1243,,2429,,641.9
,,,,,,,,,1884.4,1051,,1835,,2044.2
,,,,,,,,,2420,1292,,126,,636.7
,,,,,,,,,2015.1,1267,,201,,287.6
,,,,,,,,,2208,1454,,289,,827.9
,,,,,,,,,1972.5,1262,,256,,1884.4
,,,,,,,,,2337.8,1347,,309,,984.4
,,,,,,,,,2294.5,1435,,253,,216.3
,,,,,,,,,1978.8,1348,,325,,213.3
,,,,,,,,,2469.1,1350,,229,,611.5
,,,,,,,,,265.8,1789,,477,,223
,,,,,,,,,2410.9,1702,,140,,476.3
,,,,,,,,,230.8,1970,,1725,,818.5
,,,,,,,,,2347.7,1565,,2508,,607.9
,,,,,,,,,2011.4,1587,,290,,1665.1
,,,,,,,,,2082.9,1766,,241,,3161.1
,,,,,,,,,283.6,1884,,1537,,218.2
,,,,,,,,,2388.3,1989,,2479,,803.2
,,,,,,,,,279.9,1972,,213,,1006.4
,,,,,,,,,1986.6,1989,,290,,1809.6
,,,,,,,,,2381,2032,,224,,763.3
,,,,,,,,,2532.3,2280,,480,,221
,,,,,,,,,1316.7,2391,,214,,228.2
,,,,,,,,,1915.6,2399,,294,,2529
,,,,,,,,,2422.8,2363,,477,,2028.8
,,,,,,,,,2116.9,2498,,269,,223.6
,,,,,,,,,330.9,2528,,1711,,219.8
,,,,,,,,,2114.8,2606,,202,,2365.6
,,,,,,,,,1914.6,2437,,250,,2537.6
,,,,,,,,,2453.3,,,144,,2443.8
,,,,,,,,,2266.7,,,1923,,2649.2
,,,,,,,,,268.2,,,487,,2015.1
,,,,,,,,,2435.4,,,365,,2504.2
,,,,,,,,,2429,,,273,,1041.5
,,,,,,,,,324.2,,,199,,1007
,,,,,,,,,2379.3,,,1735,,1912.7
,,,,,,,,,2384.7,,,302,,2504.1
,,,,,,,,,2103.9,,,241,,220.6
,,,,,,,,,2198.4,,,1791,,2531.1
,,,,,,,,,2369.2,,,154,,216
,,,,,,,,,2028.1,,,174,,666.9
,,,,,,,,,2349.3,,,267,,218.3
,,,,,,,,,2363.4,,,135,,215.9
,,,,,,,,,268.2,,,212,,929.3
,,,,,,,,,1865.6,,,127,,617.2
,,,,,,,,,2035.4,,,2495,,619.6
,,,,,,,,,2282.2,,,283,,961.6
,,,,,,,,,244.5,,,213,,838.2
,,,,,,,,,2024.8,,,122,,2671.1
,,,,,,,,,2313.3,,,230,,222.2
,,,,,,,,,2538.6,,,245,,633.7
,,,,,,,,,2469.4,,,173,,750.4
,,,,,,,,,2441.9,,,286,,417.4
,,,,,,,,,1878.8,,,459,,859.5
,,,,,,,,,2490.2,,,320,,649.5
,,,,,,,,,2246.6,,,421,,1960.6
,,,,,,,,,458.1,,,431,,650.7
,,,,,,,,,1974.1,,,193,,1796.9
,,,,,,,,,1832.6,,,142,,853.1
,,,,,,,,,315.7,,,1958,,2337.7
,,,,,,,,,1940.2,,,1645,,1982.1
,,,,,,,,,2517.9,,,2139,,1904.4
,,,,,,,,,1875.2,,,230,,432.4
,,,,,,,,,1831.8,,,191,,646.6
,,,,,,,,,281,,,1722,,1996.9
,,,,,,,,,1951.9,,,327,,877.3
,,,,,,,,,2027.7,,,289,,485.3
,,,,,,,,,2434.6,,,252,,501.2
,,,,,,,,,2331,,,362,,2816.5
,,,,,,,,,266,,,119,,359.2
,,,,,,,,,267,,,282,,682.5
,,,,,,,,,258.5,,,288,,44.4
,,,,,,,,,1878.3,,,1769,,462.1
,,,,,,,,,259,,,310,,929.5
,,,,,,,,,1864.1,,,244,,2788.3
,,,,,,,,,2534.1,,,452,,2518
,,,,,,,,,1808.8,,,230,,988.3
,,,,,,,,,1927.7,,,268,,577.7
,,,,,,,,,1929,,,340,,1896.7
,,,,,,,,,1480.1,,,232,,2664.5
,,,,,,,,,2480.9,,,318,,435.2
